fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-03-05,67,1,50,1,0.014925373134328358,0.02
2020-03-13,57,2,46,1,0.03508771929824561,0.021739130434782608
2020-03-19,67,3,67,3,0.04477611940298507,0.04477611940298507
2020-03-24,66,1,60,1,0.015151515151515152,0.016666666666666666
2020-03-26,54,1,50,1,0.018518518518518517,0.02
2020-03-27,32,4,30,4,0.125,0.13333333333333333
2020-03-28,5,1,3,1,0.2,0.3333333333333333
2020-03-29,16,5,16,6,0.3125,0.375
2020-03-30,50,3,47,2,0.06,0.0425531914893617
2020-03-31,26,4,24,4,0.15384615384615385,0.16666666666666666
2020-04-01,20,1,17,1,0.05,0.058823529411764705
2020-04-02,42,6,35,3,0.14285714285714285,0.08571428571428572
2020-04-03,31,4,24,4,0.12903225806451613,0.16666666666666666
2020-04-04,69,14,67,14,0.2028985507246377,0.208955223880597
2020-04-05,2339,538,2153,491,0.23001282599401454,0.22805387830933582
2020-04-06,945,218,807,180,0.2306878306878307,0.22304832713754646
2020-04-07,1283,174,1065,151,0.13561964146531566,0.14178403755868543
2020-04-08,1142,212,991,181,0.18563922942206654,0.18264379414732593
2020-04-09,572,109,495,91,0.19055944055944055,0.18383838383838383
2020-04-10,693,166,595,146,0.23953823953823955,0.2453781512605042
2020-04-11,237,77,223,71,0.32489451476793246,0.3183856502242152
2020-04-12,169,75,135,60,0.4437869822485207,0.4444444444444444
2020-04-13,911,277,732,232,0.3040614709110867,0.31693989071038253
2020-04-14,879,244,725,195,0.2775881683731513,0.2689655172413793
2020-04-15,878,284,761,253,0.3234624145785877,0.3324572930354796
2020-04-16,1209,334,1052,270,0.2762613730355666,0.25665399239543724
2020-04-17,1237,340,1064,289,0.274858528698464,0.2716165413533835
2020-04-18,466,92,427,85,0.19742489270386265,0.1990632318501171
2020-04-19,251,133,225,114,0.5298804780876494,0.5066666666666667
2020-04-20,1110,425,932,359,0.38288288288288286,0.3851931330472103
2020-04-21,1524,463,1293,364,0.3038057742782152,0.2815158546017015
2020-04-22,1778,512,1544,434,0.2879640044994376,0.2810880829015544
2020-04-23,1374,480,1161,396,0.34934497816593885,0.34108527131782945
2020-04-24,1555,588,1322,485,0.37813504823151123,0.3668683812405446
2020-04-25,494,239,445,218,0.48380566801619435,0.4898876404494382
2020-04-26,411,170,347,146,0.41362530413625304,0.4207492795389049
2020-04-27,1634,649,1407,548,0.39718482252141984,0.3894811656005686
2020-04-28,1698,561,1400,463,0.3303886925795053,0.33071428571428574
2020-04-29,1916,713,1601,602,0.3721294363256785,0.3760149906308557
2020-04-30,1889,591,1591,500,0.31286394917946003,0.3142677561282212
2020-05-01,742,240,603,190,0.32345013477088946,0.3150912106135987
2020-05-02,649,263,577,227,0.4052388289676425,0.3934142114384749
2020-05-03,555,221,499,196,0.3981981981981982,0.3927855711422846
2020-05-04,2022,753,1657,622,0.3724035608308605,0.37537718768859385
2020-05-05,1599,586,1370,508,0.36647904940587867,0.3708029197080292
2020-05-06,2175,694,1783,592,0.31908045977011495,0.3320246775098149
2020-05-07,2237,705,1842,585,0.31515422440768887,0.31758957654723124
2020-05-08,2450,921,2001,751,0.3759183673469388,0.375312343828086
2020-05-09,798,351,684,305,0.4398496240601504,0.44590643274853803
2020-05-10,468,210,416,176,0.44871794871794873,0.4230769230769231
2020-05-11,2223,893,1756,700,0.4017094017094017,0.39863325740318906
2020-05-12,2256,941,1899,826,0.4171099290780142,0.43496577145866244
2020-05-13,2422,1112,1962,905,0.4591246903385632,0.4612640163098879
2020-05-14,2241,971,1868,798,0.4332887103971441,0.4271948608137045
2020-05-15,2680,1181,2197,969,0.4406716417910448,0.44105598543468366
2020-05-16,959,439,797,371,0.45776850886339937,0.465495608531995
2020-05-17,611,288,522,249,0.4713584288052373,0.47701149425287354
2020-05-18,2720,1183,2211,956,0.4349264705882353,0.4323835368611488
2020-05-19,2564,1207,2115,995,0.4707488299531981,0.47044917257683216
2020-05-20,2688,1239,2147,1014,0.4609375,0.47228691197019096
2020-05-21,2771,1232,2278,996,0.4446048357993504,0.437225636523266
2020-05-22,2785,1226,2266,954,0.4402154398563734,0.4210061782877317
2020-05-23,921,392,805,335,0.4256243213897937,0.4161490683229814
2020-05-24,641,300,520,251,0.46801872074882994,0.4826923076923077
2020-05-25,2875,1294,2302,1030,0.45008695652173913,0.4474370112945265
2020-05-26,2905,1387,2303,1076,0.4774526678141136,0.467216673903604
2020-05-27,3321,1450,2697,1177,0.4366154772658838,0.4364108268446422
2020-05-28,2357,1059,1953,898,0.44929995757318625,0.45980542754736303
2020-05-29,2542,1120,2165,956,0.44059795436664045,0.4415704387990762
2020-05-30,1156,547,991,472,0.4731833910034602,0.47628657921291623
2020-05-31,689,346,573,296,0.502177068214804,0.5165794066317626
2020-06-01,3049,1469,2521,1205,0.4817973105936373,0.47798492661642206
2020-06-02,3023,1420,2382,1083,0.46973205425074427,0.45465994962216627
2020-06-03,3249,1457,2590,1109,0.44844567559249,0.4281853281853282
2020-06-04,2802,1164,2316,954,0.41541755888650966,0.4119170984455959
2020-06-05,2920,1235,2415,1010,0.4229452054794521,0.41821946169772256
2020-06-06,1036,482,878,400,0.46525096525096526,0.45558086560364464
2020-06-07,634,294,523,257,0.4637223974763407,0.491395793499044
2020-06-08,3171,1493,2584,1199,0.47082939135919266,0.46400928792569657
2020-06-09,2984,1401,2409,1085,0.4695040214477212,0.45039435450394355
2020-06-10,3073,1370,2503,1071,0.44581841848356657,0.42788653615661204
2020-06-11,3033,1273,2413,985,0.4197164523574019,0.4082055532532118
2020-06-12,3096,1249,2533,1006,0.4034237726098191,0.39715752072641136
2020-06-13,1128,436,920,347,0.38652482269503546,0.37717391304347825
2020-06-14,855,351,672,263,0.4105263157894737,0.3913690476190476
2020-06-15,3109,1142,2516,881,0.36732068189128336,0.3501589825119237
2020-06-16,3187,1244,2630,1020,0.39033573893944146,0.38783269961977185
2020-06-17,3081,1196,2451,950,0.3881856540084388,0.3875968992248062
2020-06-18,2900,1070,2378,874,0.3689655172413793,0.3675357443229605
2020-06-19,2872,1109,2276,867,0.38614206128133705,0.38093145869947276
2020-06-20,979,364,802,300,0.3718079673135853,0.3740648379052369
2020-06-21,726,294,601,245,0.4049586776859504,0.40765391014975044
2020-06-22,2735,1103,2202,859,0.40329067641681904,0.39009990917347864
2020-06-23,2809,1074,2341,882,0.3823424706301175,0.37676206749252455
2020-06-24,2704,1071,2275,892,0.39607988165680474,0.3920879120879121
2020-06-25,2864,1084,2362,876,0.3784916201117318,0.37087214225232856
2020-06-26,2925,1075,2419,878,0.36752136752136755,0.36295990078544854
2020-06-27,895,360,716,286,0.4022346368715084,0.3994413407821229
2020-06-28,703,241,534,198,0.34281650071123754,0.3707865168539326
2020-06-29,3732,1385,2992,1069,0.37111468381564844,0.3572860962566845
2020-06-30,3306,1285,2662,1011,0.38868723532970356,0.37978963185574754
2020-07-01,3238,1251,2658,993,0.3863495985176035,0.37358916478555304
2020-07-02,2862,1106,2369,904,0.3864430468204053,0.3815956099620093
2020-07-03,3362,1206,2830,984,0.3587150505651398,0.34770318021201413
2020-07-04,1024,354,885,304,0.345703125,0.34350282485875705
